files,zero_crossing_rate,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,labels,y
reggae.00080.wav,0.09429756984725443,2539.12100915184,5260.771359755656,-103.1366729736328,67.20503234863281,2.212646961212158,28.50449562072754,4.172196865081787,11.874951362609865,14.24476432800293,14.292828559875488,3.261751651763916,15.854269027709961,8.042966842651367,4.469097137451172,8.679430961608888,reggae,9
jazz.00016.wav,0.06984498864075793,1465.8574464981891,2822.4067280851223,-259.87673950195307,123.18716430664062,-6.3908424377441415,37.5703353881836,-2.97765588760376,13.05789566040039,-14.083035469055176,5.310006618499756,-11.961548805236815,3.5246269702911377,-9.633516311645508,5.333287239074707,-7.843498706817628,jazz,6
disco.00052.wav,0.16977497522718485,2590.6506858720963,5060.527559001594,-70.50270080566406,90.5178451538086,-48.066078186035156,36.68781280517578,-17.691068649291992,21.59544563293457,-30.19886589050293,24.046897888183594,-20.45977783203125,14.487847328186035,-18.499725341796875,9.128920555114746,-12.056172370910645,disco,4
jazz.00002.wav,0.05785736296403712,1064.6686670420763,1895.729578288138,-256.95901489257807,175.3587646484375,-44.82228469848633,25.650619506835934,-4.255734920501709,-0.2227637767791748,-11.312748908996582,-9.189111709594727,-4.095359802246094,-8.308259963989258,-22.54821586608887,-7.608586311340332,-7.651290893554687,jazz,6
disco.00046.wav,0.11419814626836812,2259.565541613813,4889.552593895011,-125.68153381347656,101.78446197509766,-17.478099822998047,33.67275619506836,-15.236323356628418,23.703140258789066,-8.659071922302246,18.544029235839844,-14.05430793762207,19.97024154663086,-15.139117240905762,12.96924877166748,-14.30630874633789,disco,4
reggae.00094.wav,0.09561853489945862,2022.476850347564,3834.300738199681,-97.74687957763672,108.83124542236328,-24.91616058349609,21.304542541503906,12.560809135437012,7.772594451904298,-3.283714056015014,3.532455444335937,0.6926851868629456,4.193992137908936,-9.66618824005127,4.2679224014282235,2.4615843296051025,reggae,9
disco.00091.wav,0.09160579200502708,2038.150357419865,4205.70269449681,-116.8385772705078,98.4507293701172,-18.99992561340332,44.83131790161133,3.808516025543213,28.49592208862305,-1.0879170894622805,14.709351539611815,-7.737640857696532,9.76047420501709,-10.10924243927002,6.3603477478027335,-3.922947406768799,disco,4
rock.00011.wav,0.05433025787896365,1537.590679901559,3416.751445584397,-169.6363983154297,119.08700561523438,7.178452491760254,53.41263198852539,4.1322383880615225,23.1241455078125,-5.710700511932372,24.97997093200684,-9.31857967376709,13.471598625183105,-14.267766952514648,5.952583312988281,-13.591863632202148,rock,10
reggae.00043.wav,0.0760128909271075,1484.7159756822948,2775.1352686339906,-164.59457397460938,142.7074432373047,-41.48922729492188,41.22619247436523,16.171186447143555,-5.588591575622559,7.633069515228271,5.620199680328369,0.8107262253761292,-10.47809600830078,-2.3444361686706543,-0.4963472485542298,-3.0657644271850586,reggae,9
reggae.00057.wav,0.07884288295146945,2169.0749851424653,4771.711182207077,-177.52011108398438,98.31111145019531,14.755117416381836,21.15281105041504,14.985963821411133,10.22100067138672,4.95693302154541,0.8410158157348633,4.8558197021484375,6.870386600494385,3.5444672107696533,-0.3519101142883301,0.5710386633872986,reggae,9
disco.00085.wav,0.1586842311968291,3004.2729317540643,6576.261884153858,-166.8289031982422,67.67704772949219,11.212578773498537,37.44026947021485,-10.935418128967283,27.39523506164551,-18.938575744628906,27.295055389404297,-15.848695755004885,20.5400390625,-8.618115425109862,14.181403160095215,-6.046160697937013,disco,4
